event,tag,sport,sport_code,sport_url,discipline,start_date,end_date,venue,phase,gender,status,day_of_week,duration_hours,latitude,longitude,date_start,date_end,start_day,start_month,start_hour
Women's 100m Backstroke,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Swimming,2024-07-29 11:13:00+02:00,2024-07-29 11:27:00+02:00,Paris La Defense Arena,Women's 100m Backstroke - Heats,W,FINISHED,Monday,0.2333333333333333,48.8566,2.3522,2024-07-27 09:00:00+00:00,2024-08-11 13:50:00+00:00,29,7,11
Men's 800m Freestyle,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Swimming,2024-07-29 11:28:00+02:00,2024-07-29 12:07:00+02:00,Paris La Defense Arena,Men's 800m Freestyle - Heats,M,FINISHED,Monday,0.65,48.8566,2.3522,2024-07-27 09:00:00+00:00,2024-08-11 13:50:00+00:00,29,7,11
Men's Eight,rowing,Rowing,ROW,https://olympics.com/en/paris-2024/sports/rowing,Rowing,2024-07-29 11:40:00+02:00,2024-07-29 11:57:00+02:00,Nautical St - Flat water,Men's Eight Heats,M,FINISHED,Monday,0.2833333333333333,,,,,29,7,11
Men's Street,skateboarding,Skateboarding,SKB,https://olympics.com/en/paris-2024/sports/skateboarding,Skateboarding,2024-07-29 12:00:00+02:00,2024-07-29 15:50:00+02:00,La Concorde 3,Men's Street Prelims,M,FINISHED,Monday,3.8333333333333335,,,,,29,7,12
Women's Eight,rowing,Rowing,ROW,https://olympics.com/en/paris-2024/sports/rowing,Rowing,2024-07-29 12:00:00+02:00,2024-07-29 12:17:00+02:00,Nautical St - Flat water,Women's Eight Heats,W,FINISHED,Monday,0.2833333333333333,,,,,29,7,12
Women's Windsurfing,sailing,Sailing,SAL,https://olympics.com/en/paris-2024/sports/sailing,Sailing,2024-07-29 12:03:00+02:00,2024-07-29 12:12:00+02:00,Marseille Marina,Women's Windsurfing Opening Series,W,FINISHED,Monday,0.15,48.8566,2.3522,2024-07-28 09:00:00+00:00,2024-08-08 17:00:00+00:00,29,7,12
Men's Windsurfing,sailing,Sailing,SAL,https://olympics.com/en/paris-2024/sports/sailing,Sailing,2024-07-29 12:23:00+02:00,2024-07-29 12:32:00+02:00,Marseille Marina,Men's Windsurfing Opening Series,M,FINISHED,Monday,0.15,48.8566,2.3522,2024-07-28 09:00:00+00:00,2024-08-08 17:00:00+00:00,29,7,12
Men's +92kg,boxing,Boxing,BOX,https://olympics.com/en/paris-2024/sports/boxing,Boxing,2024-07-29 12:36:00+02:00,2024-07-29 12:47:00+02:00,North Paris Arena,Men's +92kg - Prelims - Round of 16,M,FINISHED,Monday,0.1833333333333333,48.9342,2.3601,2024-07-27 13:30:00+00:00,2024-08-08 15:30:00+00:00,29,7,12
Men's Cross-country,cycling-mountain-bike,Cycling Mountain Bike,MTB,https://olympics.com/en/paris-2024/sports/cycling-mountain-bike,Cycling Mountain Bike,2024-07-29 14:10:00+02:00,2024-07-29 15:40:00+02:00,Elancourt Hill,Men's Cross-country,M,FINISHED,Monday,1.5,48.8566,2.3522,2024-07-28 12:00:00+00:00,2024-07-29 14:30:00+00:00,29,7,14
Trap Women,shooting,Shooting,SHO,https://olympics.com/en/paris-2024/sports/shooting,Shooting,2024-07-29 14:30:00+02:00,2024-07-29 18:15:00+02:00,Chateauroux Shooting Ctr,Trap Women's Training,W,FINISHED,Monday,3.75,,,,,29,7,14
Men -81 kg,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo,Judo,2024-07-30 10:00:00+02:00,2024-07-30 10:06:00+02:00,Champ-de-Mars Arena,Men -81 kg Elimination Round of 64,M,FINISHED,Tuesday,0.1,,,,,30,7,10
Women -63 kg,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo,Judo,2024-07-30 10:00:00+02:00,2024-07-30 10:06:00+02:00,Champ-de-Mars Arena,Women -63 kg Elimination Round of 32,W,FINISHED,Tuesday,0.1,,,,,30,7,10
Dressage Individual,equestrian,Equestrian,EQU,https://olympics.com/en/paris-2024/sports/equestrian,Equestrian,2024-07-30 11:00:00+02:00,2024-07-30 16:30:00+02:00,Château de Versailles,Dressage Individual Grand Prix,O,FINISHED,Tuesday,5.5,48.8049,2.1204,2024-07-27 07:30:00+00:00,2024-08-11 11:30:00+00:00,30,7,11
Dressage Team,equestrian,Equestrian,EQU,https://olympics.com/en/paris-2024/sports/equestrian,Equestrian,2024-07-30 11:00:00+02:00,2024-07-30 16:30:00+02:00,Château de Versailles,Dressage Team Grand Prix,O,FINISHED,Tuesday,5.5,48.8049,2.1204,2024-07-27 07:30:00+00:00,2024-08-11 11:30:00+00:00,30,7,11
Men's 200m Butterfly,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Swimming,2024-07-30 11:00:00+02:00,2024-07-30 11:16:00+02:00,Paris La Defense Arena,Men's 200m Butterfly - Heats,M,FINISHED,Tuesday,0.2666666666666666,48.8566,2.3522,2024-07-27 09:00:00+00:00,2024-08-11 13:50:00+00:00,30,7,11
Men's 100m Freestyle,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Swimming,2024-07-30 11:17:00+02:00,2024-07-30 11:48:00+02:00,Paris La Defense Arena,Men's 100m Freestyle - Heats,M,FINISHED,Tuesday,0.5166666666666667,48.8566,2.3522,2024-07-27 09:00:00+00:00,2024-08-11 13:50:00+00:00,30,7,11
Women's 1500m Freestyle,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Swimming,2024-07-30 11:51:00+02:00,2024-07-30 12:47:00+02:00,Paris La Defense Arena,Women's 1500m Freestyle - Heats,W,FINISHED,Tuesday,0.9333333333333332,48.8566,2.3522,2024-07-27 09:00:00+00:00,2024-08-11 13:50:00+00:00,30,7,11
Women's 100m Freestyle,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Swimming,2024-07-30 12:47:00+02:00,2024-07-30 13:00:00+02:00,Paris La Defense Arena,Women's 100m Freestyle - Heats,W,FINISHED,Tuesday,0.2166666666666666,48.8566,2.3522,2024-07-27 09:00:00+00:00,2024-08-11 13:50:00+00:00,30,7,12
Men's 200m Breaststroke,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Swimming,2024-07-30 13:01:00+02:00,2024-07-30 13:19:00+02:00,Paris La Defense Arena,Men's 200m Breaststroke - Heats,M,FINISHED,Tuesday,0.3,48.8566,2.3522,2024-07-27 09:00:00+00:00,2024-08-11 13:50:00+00:00,30,7,13
Women's 57kg,boxing,Boxing,BOX,https://olympics.com/en/paris-2024/sports/boxing,Boxing,2024-07-30 13:08:00+02:00,2024-07-30 13:19:00+02:00,North Paris Arena,Women's 57kg - Prelims - Round of 32,W,FINISHED,Tuesday,0.1833333333333333,48.9342,2.3601,2024-07-27 13:30:00+00:00,2024-08-08 15:30:00+00:00,30,7,13
Men's 4 x 200m Freestyle Relay,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Swimming,2024-07-30 13:20:00+02:00,2024-07-30 13:39:00+02:00,Paris La Defense Arena,Men's 4 x 200m Freestyle Relay - Heats,M,FINISHED,Tuesday,0.3166666666666666,48.8566,2.3522,2024-07-27 09:00:00+00:00,2024-08-11 13:50:00+00:00,30,7,13
Women's Park,skateboarding,Skateboarding,SKB,https://olympics.com/en/paris-2024/sports/skateboarding,Cycling BMX Freestyle,2024-07-30 13:25:01+02:00,2024-07-30 14:41:00+02:00,La Concorde 2,Women's Park Qualification,W,FINISHED,Tuesday,1.2663888888888888,,,,,30,7,13
Women's Park,cycling-bmx-freestyle,Cycling BMX Freestyle,BMF,https://olympics.com/en/paris-2024/sports/cycling-bmx-freestyle,Cycling BMX Freestyle,2024-07-30 13:25:01+02:00,2024-07-30 14:41:00+02:00,La Concorde 2,Women's Park Qualification,W,FINISHED,Tuesday,1.2663888888888888,,,,,30,7,13
